"Commit ID","Refactoring Type","File Path","Start Line","End Line","Code Element Type","Description","Code Element"
"76be530a364b376c1d69d8447230ad5cf023be7f","Remove Thrown Exception Type","src/java/org/apache/cassandra/service/StorageService.java","5639","5642","METHOD_DECLARATION","method declaration with removed thrown exception type","public resetLocalSchema() : void"
"c100d34a1a1d497eee85ca10c5cc1e43eb4871c4","Remove Thrown Exception Type","src/java/org/apache/cassandra/streaming/messages/KeepAliveMessage.java","40","43","METHOD_DECLARATION","method declaration with removed thrown exception type","public deserialize(in DataInputPlus, version int) : KeepAliveMessage"
"c100d34a1a1d497eee85ca10c5cc1e43eb4871c4","Add Method Annotation","src/java/org/apache/cassandra/streaming/messages/KeepAliveMessage.java","32","32","ANNOTATION","added annotation","@Override"
"c100d34a1a1d497eee85ca10c5cc1e43eb4871c4","Add Method Annotation","src/java/org/apache/cassandra/streaming/messages/KeepAliveMessage.java","32","36","METHOD_DECLARATION","method declaration with added annotation","public toString() : String"
"db3a29428df5f4e17791ce8a4e075532abb36667","Extract Method","src/java/org/apache/cassandra/service/StorageProxy.java","1858","1861","METHOD_DECLARATION","extracted method declaration","public isSafeToPerformRead() : boolean"
"db3a29428df5f4e17791ce8a4e075532abb36667","Extract Method","src/java/org/apache/cassandra/service/StorageProxy.java","1860","1860","METHOD_DECLARATION","extracted method declaration"," "
"db3a29428df5f4e17791ce8a4e075532abb36667","Extract Method","src/java/org/apache/cassandra/service/StorageProxy.java","1858","1861","METHOD_DECLARATION","source method declaration after extraction","public isSafeToPerformRead() : boolean"
"db3a29428df5f4e17791ce8a4e075532abb36667","Extract Method","src/java/org/apache/cassandra/service/StorageProxy.java","1855","1855","METHOD_INVOCATION","extracted method invocation","isSafeToPerformRead()"
"db3a29428df5f4e17791ce8a4e075532abb36667","Extract Method","src/java/org/apache/cassandra/service/StorageProxy.java","1853","1856","METHOD_DECLARATION","extracted method declaration","public isSafeToPerformRead(queries List<SinglePartitionReadCommand>) : boolean"
"db3a29428df5f4e17791ce8a4e075532abb36667","Extract Method","src/java/org/apache/cassandra/service/StorageProxy.java","1860","1860","METHOD_DECLARATION","extracted method declaration"," "
"db3a29428df5f4e17791ce8a4e075532abb36667","Extract Method","src/java/org/apache/cassandra/service/StorageProxy.java","1819","1851","METHOD_DECLARATION","source method declaration after extraction","public read(group SinglePartitionReadCommand.Group, consistencyLevel ConsistencyLevel, queryStartNanoTime long) : PartitionIterator"
"db3a29428df5f4e17791ce8a4e075532abb36667","Extract Method","src/java/org/apache/cassandra/service/StorageProxy.java","1826","1826","METHOD_INVOCATION","extracted method invocation","isSafeToPerformRead(group.queries)"
"a9725b681b948f2122f3d48b96a5c4e7403d2c39","Change Variable Type","src/java/org/apache/cassandra/db/rows/AbstractCell.java","208","208","VARIABLE_DECLARATION_STATEMENT","changed-type variable declaration","ct : CollectionType<?>"
"a9725b681b948f2122f3d48b96a5c4e7403d2c39","Change Variable Type","src/java/org/apache/cassandra/db/rows/AbstractCell.java","199","219","METHOD_DECLARATION","method declaration with changed variable type","public toString() : String"
"b7cc21516cfc5f95a7df4d86badac8b4195552a4","Add Class Modifier","test/distributed/org/apache/cassandra/distributed/upgrade/MixedModeAvailabilityTestBase.java","46","198","TYPE_DECLARATION","class declaration with added modifier","org.apache.cassandra.distributed.upgrade.MixedModeAvailabilityTestBase"
"b7cc21516cfc5f95a7df4d86badac8b4195552a4","Inline Method","test/distributed/org/apache/cassandra/distributed/upgrade/MixedModeAvailabilityTestBase.java","73","106","METHOD_DECLARATION","target method declaration after inline","private testAvailability(upgradedCoordinator boolean, initial Semver) : void"
"b7cc21516cfc5f95a7df4d86badac8b4195552a4","Inline Method","test/distributed/org/apache/cassandra/distributed/upgrade/MixedModeAvailabilityTestBase.java","80","81","METHOD_DECLARATION","target method declaration after inline"," "
"b7cc21516cfc5f95a7df4d86badac8b4195552a4","Inline Method","test/distributed/org/apache/cassandra/distributed/upgrade/MixedModeAvailabilityTestBase.java","96","96","METHOD_DECLARATION","target method declaration after inline"," "
"b7cc21516cfc5f95a7df4d86badac8b4195552a4","Inline Method","test/distributed/org/apache/cassandra/distributed/upgrade/MixedModeAvailabilityTestBase.java","97","97","METHOD_DECLARATION","target method declaration after inline"," "
"b7cc21516cfc5f95a7df4d86badac8b4195552a4","Inline Method","test/distributed/org/apache/cassandra/distributed/upgrade/MixedModeAvailabilityTestBase.java","101","101","METHOD_DECLARATION","target method declaration after inline"," "
"b7cc21516cfc5f95a7df4d86badac8b4195552a4","Inline Method","test/distributed/org/apache/cassandra/distributed/upgrade/MixedModeAvailabilityTestBase.java","103","103","METHOD_DECLARATION","target method declaration after inline"," "
"b7cc21516cfc5f95a7df4d86badac8b4195552a4","Inline Method","test/distributed/org/apache/cassandra/distributed/upgrade/MixedModeAvailabilityTestBase.java","86","86","METHOD_DECLARATION","target method declaration after inline"," "
"b7cc21516cfc5f95a7df4d86badac8b4195552a4","Inline Method","test/distributed/org/apache/cassandra/distributed/upgrade/MixedModeAvailabilityTestBase.java","94","98","METHOD_DECLARATION","target method declaration after inline"," "
"b7cc21516cfc5f95a7df4d86badac8b4195552a4","Inline Method","test/distributed/org/apache/cassandra/distributed/upgrade/MixedModeAvailabilityTestBase.java","102","103","METHOD_DECLARATION","target method declaration after inline"," "
